listing_id,date,num_reviews,reviewers
16821,2026-02-01,5,"11418175,4334204,149982178,538419572,133977497"
16821,2025-05-01,5,"529738937,174879950,219434656,61311273,559584709"
16821,2025-09-01,5,"346827521,11167807,92035987,7317204,16906134"
16821,2026-01-01,2,"182520391,401388608"
16821,2025-12-01,3,"678360906,126763,502941055"
16821,2025-08-01,4,"3676380,154534046,109485205,676981952"
16821,2025-04-01,8,"62192385,687826507,553313567,74231501,153959878,321718,28582466,69190255"
940116,2025-10-01,1,484945440
940116,2025-06-01,1,193517427
1030254,2025-12-01,1,521002433
1030254,2025-10-01,1,721843484
1030254,2025-04-01,1,36046888
218358,2025-09-01,1,100281046
218358,2025-07-01,1,165188342
218358,2025-05-01,1,240999297
218358,2025-04-01,1,388753004
1401826,2025-04-01,1,174773690
1336230,2025-06-01,1,379869519
846854,2025-11-01,1,126573058
846854,2025-08-01,1,55591001
846854,2025-06-01,1,20991217
1026683,2025-12-01,5,"296441524,270735642,519010553,343243856,728229443"
1026683,2025-11-01,1,487316005
1026683,2025-10-01,3,"219521701,520759952,46143839"
1026683,2025-09-01,4,"159542889,25498959,701976249,484699422"
1026683,2025-08-01,3,"343114384,338947837,454391535"
1026683,2025-06-01,2,"554323660,324239479"
1026683,2025-05-01,3,"455684597,369261189,44962476"
1026683,2025-04-01,3,"385039262,466045087,455751134"
1026683,2026-03-01,1,529400140
1026683,2026-01-01,1,47580878
1359130,2025-06-01,1,290540483
6872,2025-10-01,1,304852002
209310,2025-09-01,1,6583607
209310,2025-08-01,1,553520583
1101224,2026-02-01,1,141944759
1101224,2025-12-01,1,665572607
1101224,2025-08-01,1,465510927
46911,2025-09-01,1,9089665
46911,2025-07-01,1,571850318
46911,2025-06-01,1,97029077
46911,2026-02-01,1,194302465
29013,2025-09-01,1,543663731
29013,2025-05-01,1,488638750
29013,2025-12-01,1,80546357
29013,2025-08-01,1,676702255
699472,2025-11-01,3,"15258406,75961,231077"
699472,2025-07-01,1,227353945
699472,2026-02-01,1,34755421
699472,2025-10-01,5,"34005597,11509231,661397694,358822890,361416295"
699472,2025-06-01,5,"13822898,100257095,142091474,146821195,10907168"
699472,2026-01-01,3,"294888151,6970781,55426222"
699472,2025-09-01,2,"39549116,25219269"
699472,2025-05-01,6,"73688598,587530419,379002763,20630540,118765613,41575971"
699472,2025-12-01,4,"309551066,547798129,200985440,38380810"
699472,2025-08-01,4,"21110375,186153730,48416591,267173631"
699472,2025-04-01,2,"548555990,17078688"
94783,2026-02-01,1,41421207
94783,2025-10-01,1,24780757
94783,2026-01-01,1,67529933
94783,2025-09-01,2,"69215314,61679465"
94783,2025-05-01,1,114898476
94783,2025-12-01,4,"2480402,5887383,470061951,249062376"
94783,2025-08-01,1,51696238
94783,2025-04-01,1,408197964
828616,2025-12-01,1,22568666
828616,2025-09-01,1,590474528
828616,2025-04-01,1,679175428
1101035,2026-01-01,1,28838054
1101035,2025-08-01,1,87166707
279857,2026-03-01,2,"732161557,735220557"
279857,2025-11-01,4,"526995208,270349625,29331177,40831457"
279857,2025-07-01,3,"92683812,150914605,91477911"
279857,2026-02-01,4,"34040799,22731960,302876331,268980763"
279857,2025-06-01,3,"67830787,146016062,5916773"
279857,2026-01-01,2,"191551903,154557697"
279857,2025-05-01,1,664727322
279857,2025-12-01,3,"399873527,244219052,232413183"
279857,2025-08-01,1,692259672
279857,2025-04-01,1,63775251
39593,2025-05-01,1,99843773
272026,2025-07-01,1,211362031
1042806,2025-11-01,1,533935737
1042806,2025-07-01,2,"445469897,450187988"
1042806,2025-06-01,4,"678519726,441956865,419403771,34679179"
1042806,2025-10-01,3,"440962183,71034172,562781676"
